NAMESPACE         LAST SEEN   TYPE      REASON                   OBJECT                                                        MESSAGE
longhorn-system   37m         Normal    Created                  pod/hindsight-snapshot-hourly-29664087-dlv66                  Created container: hindsight-snapshot-hourly
longhorn-system   37m         Normal    Started                  pod/hindsight-snapshot-hourly-29664087-dlv66                  Started container hindsight-snapshot-hourly
longhorn-system   37m         Normal    SuccessfulCreate         job/hindsight-snapshot-hourly-29664087                        Created pod: hindsight-snapshot-hourly-29664087-dlv66
healthchecks      37m         Normal    SuccessfulCreate         job/healthchecks-sqlite-backup-29664087                       Created pod: healthchecks-sqlite-backup-29664087-zttgr
longhorn-system   37m         Normal    SuccessfulCreate         cronjob/hindsight-snapshot-hourly                             Created job hindsight-snapshot-hourly-29664087
healthchecks      37m         Normal    Pulled                   pod/healthchecks-sqlite-backup-29664087-zttgr                 Container image "healthchecks/healthchecks@sha256:6b5f593d40994345053f05f86decfa9e17ab1e4422df2ae58abd032a7b14d8f6" already present on machine
healthchecks      37m         Normal    SuccessfulCreate         cronjob/healthchecks-sqlite-backup                            Created job healthchecks-sqlite-backup-29664087
longhorn-system   37m         Normal    SawCompletedJob          cronjob/hindsight-snapshot-hourly                             Saw completed job: hindsight-snapshot-hourly-29664087, condition: Complete
longhorn-system   37m         Normal    SuccessfulDelete         cronjob/hindsight-snapshot-hourly                             Deleted job hindsight-snapshot-hourly-29664027
longhorn-system   37m         Normal    Completed                job/hindsight-snapshot-hourly-29664087                        Job completed
healthchecks      37m         Normal    Completed                job/healthchecks-sqlite-backup-29664087                       Job completed
healthchecks      37m         Normal    SawCompletedJob          cronjob/healthchecks-sqlite-backup                            Saw completed job: healthchecks-sqlite-backup-29664087, condition: Complete
hindsight         34m         Normal    Created                  pod/hindsight-groq-healthcheck-29664090-hw7q4                 Created container: groq-healthcheck
hindsight         34m         Normal    SuccessfulCreate         cronjob/hindsight-groq-healthcheck                            Created job hindsight-groq-healthcheck-29664090
hindsight         34m         Normal    Pulled                   pod/hindsight-groq-healthcheck-29664090-hw7q4                 Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         34m         Normal    SuccessfulCreate         job/hindsight-groq-healthcheck-29664090                       Created pod: hindsight-groq-healthcheck-29664090-hw7q4
hindsight         34m         Normal    Started                  pod/hindsight-groq-healthcheck-29664090-hw7q4                 Started container groq-healthcheck
hindsight         34m         Normal    SuccessfulDelete         cronjob/hindsight-groq-healthcheck                            Deleted job hindsight-groq-healthcheck-29664045
hindsight         34m         Normal    SawCompletedJob          cronjob/hindsight-groq-healthcheck                            Saw completed job: hindsight-groq-healthcheck-29664090, condition: Complete
hindsight         34m         Normal    Completed                job/hindsight-groq-healthcheck-29664090                       Job completed
hindsight         23m         Normal    SuccessfulCreate         job/hindsight-postgres-pgdump-29664101                        Created pod: hindsight-postgres-pgdump-29664101-7sfg2
hindsight         23m         Normal    SuccessfulCreate         cronjob/hindsight-postgres-pgdump                             Created job hindsight-postgres-pgdump-29664101
hindsight         23m         Normal    Pulled                   pod/hindsight-postgres-pgdump-29664101-7sfg2                  Container image "docker.io/library/postgres:16-alpine@sha256:16bc17c64a573ef34162af9298258d1aec548232985b33ed7b1eac33ba35c229" already present on machine
hindsight         23m         Normal    Created                  pod/hindsight-postgres-pgdump-29664101-7sfg2                  Created container: pgdump
hindsight         23m         Normal    Started                  pod/hindsight-postgres-pgdump-29664101-7sfg2                  Started container pgdump
hindsight         23m         Normal    Created                  pod/hindsight-postgres-pgdump-29664101-7sfg2                  Created container: upload
hindsight         23m         Normal    Pulled                   pod/hindsight-postgres-pgdump-29664101-7sfg2                  Container image "docker.io/amazon/aws-cli@sha256:cf53765c0de54ad3a8ea21818f1c4c845a8cf7ca87831c078a00fef244031493" already present on machine
hindsight         23m         Normal    Started                  pod/hindsight-postgres-pgdump-29664101-7sfg2                  Started container upload
hindsight         22m         Normal    SawCompletedJob          cronjob/hindsight-postgres-pgdump                             Saw completed job: hindsight-postgres-pgdump-29664101, condition: Complete
hindsight         22m         Normal    Completed                job/hindsight-postgres-pgdump-29664101                        Job completed
hindsight         19m         Normal    SuccessfulCreate         job/hindsight-groq-healthcheck-29664105                       Created pod: hindsight-groq-healthcheck-29664105-vn6dr
hindsight         19m         Normal    Created                  pod/hindsight-groq-healthcheck-29664105-vn6dr                 Created container: groq-healthcheck
hindsight         19m         Normal    Pulled                   pod/hindsight-groq-healthcheck-29664105-vn6dr                 Container image "docker.io/curlimages/curl:8.16.0@sha256:463eaf6072688fe96ac64fa623fe73e1dbe25d8ad6c34404a669ad3ce1f104b6" already present on machine
hindsight         19m         Normal    SuccessfulCreate         cronjob/hindsight-groq-healthcheck                            Created job hindsight-groq-healthcheck-29664105
