NAMESPACE         LAST SEEN   TYPE      REASON               OBJECT                                                       MESSAGE
hindsight         28m         Normal    SawCompletedJob      cronjob/hindsight-groq-healthcheck                           Saw completed job: hindsight-groq-healthcheck-29664030, condition: Complete
hindsight         28m         Normal    SuccessfulDelete     cronjob/hindsight-groq-healthcheck                           Deleted job hindsight-groq-healthcheck-29663985
hindsight         28m         Normal    Completed            job/hindsight-groq-healthcheck-29664030                      Job completed
hindsight         16m         Normal    Pulling              pod/hindsight-ui-curl-check                                  Pulling image "curlimages/curl"
hindsight         16m         Normal    Created              pod/hindsight-ui-curl-check                                  Created container: hindsight-ui-curl-check
hindsight         16m         Normal    Pulled               pod/hindsight-ui-curl-check                                  Successfully pulled image "curlimages/curl" in 580ms (580ms including waiting). Image size: 10630939 bytes.
hindsight         16m         Normal    Started              pod/hindsight-ui-curl-check                                  Started container hindsight-ui-curl-check
hindsight         16m         Normal    Pulling              pod/hindsight-ui-root-curl-check                             Pulling image "curlimages/curl"
hindsight         16m         Normal    Started              pod/hindsight-ui-root-curl-check                             Started container hindsight-ui-root-curl-check
hindsight         16m         Normal    Pulled               pod/hindsight-ui-root-curl-check                             Successfully pulled image "curlimages/curl" in 596ms (596ms including waiting). Image size: 10630939 bytes.
hindsight         16m         Normal    Created              pod/hindsight-ui-root-curl-check                             Created container: hindsight-ui-root-curl-check
hindsight         15m         Normal    OrderPending         certificaterequest/hindsight-tls-1                           Waiting on certificate issuance from order hindsight/hindsight-tls-1-3996921148: ""
hindsight         15m         Normal    WaitingForApproval   certificaterequest/hindsight-tls-1                           Not signing CertificateRequest until it is Approved
hindsight         15m         Normal    OrderCreated         certificaterequest/hindsight-tls-1                           Created Order resource hindsight/hindsight-tls-1-3996921148
hindsight         15m         Normal    Issuing              certificate/hindsight-tls                                    Issuing certificate as Secret does not exist
hindsight         15m         Normal    Generated            certificate/hindsight-tls                                    Stored new private key in temporary Secret resource "hindsight-tls-cmnzl"
hindsight         15m         Normal    Requested            certificate/hindsight-tls                                    Created new CertificateRequest resource "hindsight-tls-1"
hindsight         15m         Normal    CreateCertificate    ingress/hindsight                                            Successfully created Certificate "hindsight-tls"
hindsight         15m         Normal    WaitingForApproval   certificaterequest/hindsight-tls-1                           Not signing CertificateRequest until it is Approved
hindsight         15m         Normal    WaitingForApproval   certificaterequest/hindsight-tls-1                           Not signing CertificateRequest until it is Approved
hindsight         15m         Normal    cert-manager.io      certificaterequest/hindsight-tls-1                           Certificate request has been approved by cert-manager.io
hindsight         15m         Normal    WaitingForApproval   certificaterequest/hindsight-tls-1                           Not signing CertificateRequest until it is Approved
hindsight         15m         Normal    WaitingForApproval   certificaterequest/hindsight-tls-1                           Not signing CertificateRequest until it is Approved
hindsight         15m         Normal    Created              order/hindsight-tls-1-3996921148                             Created Challenge resource "hindsight-tls-1-3996921148-3833620331" for domain "hindsight.activi.io"
hindsight         15m         Normal    Created              pod/cm-acme-http-solver-wcmm4                                Created container: acmesolver
hindsight         15m         Normal    Presented            challenge/hindsight-tls-1-3996921148-3833620331              Presented challenge using HTTP-01 challenge mechanism
